platform,flush_type,operation,access_pattern,io_size(B),blcok_size(B),data_space_size(MB),count,throughput(op/s),bandwidth(MB),avg_latency(ns)
DRAM_cached,t,read,sequential,16,1048576,14336,14336,11067603,168,90.3538
DRAM_cached,t,read,sequential,16,1052672,14336,14280,11072870,168,90.3108
DRAM_cached,t,read,sequential,32,131072,14336,114688,11498305,350,86.9693
DRAM_cached,t,read,sequential,32,135168,14336,111212,12096553,369,82.6682
DRAM_cached,t,read,sequential,32,1048576,14336,14336,10918814,333,91.585
DRAM_cached,t,read,sequential,32,1052672,14336,14280,10854404,331,92.1285
DRAM_cached,t,read,sequential,64,131072,14336,114688,11143605,680,89.7376
DRAM_cached,t,read,sequential,64,135168,14336,111212,11604309,708,86.1749
DRAM_cached,t,read,sequential,64,1048576,14336,14336,10356982,632,96.5532
DRAM_cached,t,read,sequential,64,1052672,14336,14280,10277652,627,97.2985
DRAM_cached,t,read,sequential,128,131072,14336,114688,10629659,1297,94.0764
DRAM_cached,t,read,sequential,128,135168,14336,111212,11093192,1354,90.1454
DRAM_cached,t,read,sequential,128,1048576,14336,14336,10077535,1230,99.2306
DRAM_cached,t,read,sequential,128,1052672,14336,14280,10063453,1228,99.3695
DRAM_cached,t,read,sequential,256,131072,14336,114688,11044111,2696,90.546
DRAM_cached,t,read,sequential,256,135168,14336,111212,11441919,2793,87.3979
DRAM_cached,t,read,sequential,256,1048576,14336,14336,9817759,2396,101.856
DRAM_cached,t,read,sequential,256,1052672,14336,14280,9823727,2398,101.794
DRAM_cached,t,read,sequential,512,131072,14336,114688,9930391,4848,100.701
DRAM_cached,t,read,sequential,512,135168,14336,111212,10377911,5067,96.3585
DRAM_cached,t,read,sequential,512,1048576,14336,14336,8977427,4383,111.39
DRAM_cached,t,read,sequential,512,1052672,14336,14280,9062179,4424,110.349
DRAM_cached,t,read,sequential,1024,131072,14336,114688,6064141,5922,164.904
DRAM_cached,t,read,sequential,1024,135168,14336,111212,5855759,5718,170.772
DRAM_cached,t,read,sequential,1024,1048576,14336,14336,5750625,5615,173.894
DRAM_cached,t,read,sequential,1024,1052672,14336,14280,5865601,5728,170.485
DRAM_cached,t,read,sequential,2048,131072,14336,114688,3287913,6421,304.144
DRAM_cached,t,read,sequential,2048,135168,14336,111212,3355613,6553,298.008
DRAM_cached,t,read,sequential,2048,1048576,14336,14336,3323887,6491,300.853
DRAM_cached,t,read,sequential,2048,1052672,14336,14280,3297382,6440,303.271
DRAM_cached,t,read,sequential,4096,131072,14336,114688,2322245,9071,430.618
DRAM_cached,t,read,sequential,4096,135168,14336,111212,2316140,9047,431.753
DRAM_cached,t,read,sequential,4096,1048576,14336,14336,2277701,8897,439.039
DRAM_cached,t,read,sequential,4096,1052672,14336,14280,2298930,8980,434.985
DRAM_cached,t,read,sequential,8192,131072,14336,114688,1190396,9299,840.056
DRAM_cached,t,read,sequential,8192,135168,14336,111212,1206108,9422,829.113
DRAM_cached,t,read,sequential,8192,1048576,14336,14336,1202303,9392,831.737
DRAM_cached,t,read,sequential,8192,1052672,14336,14280,1184415,9253,844.298
DRAM_cached,t,read,sequential,16384,131072,14336,114688,423201,6612,2362.94
DRAM_cached,t,read,sequential,16384,135168,14336,111212,422977,6609,2364.19
DRAM_cached,t,read,sequential,16384,1048576,14336,14336,420656,6572,2377.24
DRAM_cached,t,read,sequential,16384,1052672,14336,14280,419360,6552,2384.59
DRAM_cached,t,read,sequential,32768,131072,14336,114688,199137,6223,5021.64
DRAM_cached,t,read,sequential,32768,135168,14336,111212,198592,6206,5035.45
DRAM_cached,t,read,sequential,32768,1048576,14336,14336,199099,6221,5022.6
DRAM_cached,t,read,sequential,32768,1052672,14336,14280,197828,6182,5054.88
DRAM_cached,t,read,sequential,65536,131072,14336,114688,99821,6238,10017.9
DRAM_cached,t,read,sequential,65536,135168,14336,111212,99827,6239,10017.3
DRAM_cached,t,read,sequential,65536,1048576,14336,14336,99812,6238,10018.8
DRAM_cached,t,read,sequential,65536,1052672,14336,14280,99585,6224,10041.6
DRAM_cached,nt,read,random,8,131072,14336,114688,10752580,82,93.0009
DRAM_cached,nt,read,random,8,135168,14336,111212,10905721,83,91.695
DRAM_cached,nt,read,random,8,1048576,14336,14336,10517288,80,95.0815
DRAM_cached,nt,read,random,8,1052672,14336,14280,10625047,81,94.1172
DRAM_cached,nt,read,random,16,131072,14336,114688,10690288,163,93.5428
DRAM_cached,nt,read,random,16,135168,14336,111212,10790893,164,92.6707
DRAM_cached,nt,read,random,16,1048576,14336,14336,10499402,160,95.2435
DRAM_cached,nt,read,random,16,1052672,14336,14280,10552458,161,94.7646
DRAM_cached,nt,read,random,32,131072,14336,114688,10560131,322,94.6958
DRAM_cached,nt,read,random,32,135168,14336,111212,10686983,326,93.5718
DRAM_cached,nt,read,random,32,1048576,14336,14336,10340330,315,96.7087
DRAM_cached,nt,read,random,32,1052672,14336,14280,10188296,310,98.1518
DRAM_cached,nt,read,random,64,131072,14336,114688,10132375,618,98.6935
DRAM_cached,nt,read,random,64,135168,14336,111212,10149337,619,98.5286
DRAM_cached,nt,read,random,64,1048576,14336,14336,9812625,598,101.91
DRAM_cached,nt,read,random,64,1052672,14336,14280,9875381,602,101.262
DRAM_cached,nt,read,random,128,131072,14336,114688,9744021,1189,102.627
DRAM_cached,nt,read,random,128,135168,14336,111212,9827452,1199,101.756
DRAM_cached,nt,read,random,128,1048576,14336,14336,9554346,1166,104.664
DRAM_cached,nt,read,random,128,1052672,14336,14280,9508923,1160,105.164
DRAM_cached,nt,read,random,256,131072,14336,114688,9976159,2435,100.239
DRAM_cached,nt,read,random,256,135168,14336,111212,9982340,2437,100.177
