platform,operation,access_pattern,io_size(B),blcok_size(B),data_space_size(MB),count,throughput(op/s),bandwidth(MB),avg_latency(ns)
DRAM_cached,write,random,32768,135168,8192,63550,376169,11755,2658.37
DRAM_cached,write,random,65536,131072,8192,65536,81829,5114,12220.5
DRAM_cached,write,random,65536,135168,8192,63550,81985,5124,12197.2
DRAM_cached,read,sequential,8,131072,8192,65536,12064898,92,82.8851
DRAM_cached,read,sequential,8,135168,8192,63550,12563688,95,79.5945
DRAM_cached,read,sequential,16,131072,8192,65536,11941177,182,83.7438
DRAM_cached,read,sequential,16,135168,8192,63550,12535503,191,79.7734
DRAM_cached,read,sequential,32,131072,8192,65536,11839091,361,84.4659
DRAM_cached,read,sequential,32,135168,8192,63550,12357650,377,80.9215
DRAM_cached,read,sequential,64,131072,8192,65536,11257227,687,88.8318
DRAM_cached,read,sequential,64,135168,8192,63550,11720428,715,85.3211
DRAM_cached,read,sequential,128,131072,8192,65536,10681802,1303,93.6172
DRAM_cached,read,sequential,128,135168,8192,63550,11190668,1366,89.3602
DRAM_cached,read,sequential,256,131072,8192,65536,11311438,2761,88.4061
DRAM_cached,read,sequential,256,135168,8192,63550,11768910,2873,84.9696
DRAM_cached,read,sequential,512,131072,8192,65536,9975059,4870,100.25
DRAM_cached,read,sequential,512,135168,8192,63550,8584557,4191,116.488
DRAM_cached,read,sequential,1024,131072,8192,65536,5410256,5283,184.834
DRAM_cached,read,sequential,1024,135168,8192,63550,5539836,5409,180.511
DRAM_cached,read,sequential,2048,131072,8192,65536,3330254,6504,300.277
DRAM_cached,read,sequential,2048,135168,8192,63550,3369998,6582,296.736
DRAM_cached,read,sequential,4096,131072,8192,65536,2089065,8160,478.683
DRAM_cached,read,sequential,4096,135168,8192,63550,2093553,8177,477.657
DRAM_cached,read,sequential,8192,131072,8192,65536,1164027,9093,859.087
DRAM_cached,read,sequential,8192,135168,8192,63550,1187431,9276,842.154
DRAM_cached,read,sequential,16384,131072,8192,65536,405565,6336,2465.7
DRAM_cached,read,sequential,16384,135168,8192,63550,402609,6290,2483.79
DRAM_cached,read,sequential,32768,131072,8192,65536,192624,6019,5191.44
DRAM_cached,read,sequential,32768,135168,8192,63550,191411,5981,5224.33
DRAM_cached,read,sequential,65536,131072,8192,65536,96868,6054,10323.3
DRAM_cached,read,sequential,65536,135168,8192,63550,96627,6039,10349
DRAM_cached,read,random,8,131072,8192,65536,11318585,86,88.3503
DRAM_cached,read,random,8,135168,8192,63550,11432098,87,87.473
DRAM_cached,read,random,16,131072,8192,65536,11248668,171,88.8994
DRAM_cached,read,random,16,135168,8192,63550,11426567,174,87.5153
DRAM_cached,read,random,32,131072,8192,65536,11179165,341,89.4521
DRAM_cached,read,random,32,135168,8192,63550,11304933,344,88.457
DRAM_cached,read,random,64,131072,8192,65536,10586725,646,94.4579
DRAM_cached,read,random,64,135168,8192,63550,10798151,659,92.6084
DRAM_cached,read,random,128,131072,8192,65536,10188148,1243,98.1533
DRAM_cached,read,random,128,135168,8192,63550,10325930,1260,96.8436
DRAM_cached,read,random,256,131072,8192,65536,10326362,2521,96.8395
DRAM_cached,read,random,256,135168,8192,63550,9016564,2201,110.907
DRAM_cached,read,random,512,131072,8192,65536,8847833,4320,113.022
